ResponseId,open.question,rep.supp,dem.supp,elite,bipart,jcs,state,regime,trade,shared.threat,cost,conditions,defense.coop,mil.coop,region,cap,issue.link,none,age,gender,hhi,ethnicity,hispanic,education,political_party,us.region,zip,Q11,Q18,Q1,Q6,Q3,Q4,Q4_DO,Q4,Q5,Q7
R_3j8ccqewVHF0cxS,Keeping everything safe,,,,,,,,,,,,,,,,,1,34,2,14,3,1,4,1,3,73135,Educational Services,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Somewhat agree
R_9vtLcOBcGyGCiqJ,RESILIENCE ,,,,,,,,,,,,,,,,,1,28,2,5,2,1,7,3,3,77060,Retail Trade,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat disagree
R_20kDls9IBVXkVTb,Different views of different organizations and threats against out countries try ,,,1,,,,,,,,,,,,,,,52,2,12,1,1,7,9,3,71854,Information and Telecommunications,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,None.,Strongly disagree
R_OeYDqRVwjDtNksN,The people involved,,,1,,,,,,,,,,,,,,,32,2,1,1,1,2,1,3,29201,Health care and social assistance,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Neither agree nor disagree
R_1NlaxZuhu2T5inI,Security,,,,,,,,,,,,,,,,,1,71,2,3,1,1,6,10,3,33573,Retail Trade,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Strongly disagree
R_2sQI2iUzkFSXQgr,If the country is a democracy and if it will stay a democracy,,,,,,,1,,,,,,,,,,,38,2,19,1,1,4,2,2,43615,Accommodation and food services,No,Somewhat agree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Strongly agree
R_ST7FDQuqtuiOqkx,What global partnerships would the US establish to protect democracy and the US interests overseas.,,,,,,,1,,1,,,,,,,,,64,2,5,10,1,6,1,3,28677,Accommodation and food services,No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Somewhat disagree
R_241RgeIJy5u7fVJ,If the country had influences on trade and how many soldiers they were able to supply.,,,,,,,,1,,,,,,,1,,,22,1,11,1,1,4,5,2,45216,"Manufacturing - food, textile, apparel",No,Somewhat agree,Somewhat disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Strongly agree
R_sRspJ3TFBm5JpSh,My brain and the stuff I've been through in the armed forces.,,,,,,,,,,,,,,,,,1,34,1,20,1,1,7,3,4,85257,Health care and social assistance,,Strongly agree,Strongly disagree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,None.,Strongly disagree
R_33rTVrkBxlK0rPe,No,,,,,,,,,,,,,,,,,1,29,2,8,6,1,3,8,1,8005,Utilities,No,Somewhat disagree,Strongly disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,A few.,Strongly disagree
R_217dTmUg7cl5f6D,Which environment was this prey found in?    meadow evergreen forest marsh woodland,,,,,,,,,,,,,,,,,1,27,2,19,2,16,8,3,3,20772,"Administration, support, and waste management",Yes,Somewhat agree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Strongly agree
R_2R35SJZlRI0PJbg,Not sure,,,,,,,,,,,,,,,,,1,21,2,1,1,3,5,4,3,33425,"Arts, entertainment & recreation",No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Neither agree nor disagree
R_aVLanWkISVb3QI1,,,,,,,,,,,,,,,,,,1,54,2,18,1,1,7,4,3,33428,Health care and social assistance,No,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Somewhat disagree
R_5sR8DO1iaraa8wx,"Need for war, then trade",,,,,,,,1,,,1,,,,,,,40,2,22,1,1,6,1,1,3110,Educational Services,No,Strongly agree,Somewhat agree,Strongly disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,Very many.,Somewhat disagree
R_9F6ewHB9gpxqApP,The true all the time,,,,,,,,,,,,,,,,,1,44,2,1,1,16,2,2,1,6710,Wholesale trade,No,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Neither agree nor disagree
R_3no2TUlK6fNyjK6,Having a majority of the decision making bodies in agreement,,,1,,,,,,,,,,,,,,,44,2,10,1,1,6,10,1,6374,"Professional, scientific, and technical services",Yes,Strongly agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Some.,Somewhat disagree
R_1jqX6XmLdqDnY6U,"The trade, military alliance ect ",,,,,,,,1,,,,,,,,,,41,2,10,1,1,6,5,4,85283,Accommodation and food services,,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_3D1NWUy9wNLr095,Unsure of what really ,,,,,,,,,,,,,,,,,1,50,2,8,1,1,4,1,3,75701,"Manufacturing - food, textile, apparel",No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,None.,Neither agree nor disagree
R_2xXc8ppVLCtA1xu,Is it to the advancement of the US's safety and economy,,,,,,,,1,1,,,,,,,,,90,2,15,1,1,6,5,1,10003,Real Estate,No,Strongly agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,None.,Strongly agree
R_1gzlYOiiHW6IpFY,If they were a democracy who has supported us in the past. ,,,,,,,1,,,,,,1,,,,,47,2,19,1,1,6,1,1,1605,"Professional, scientific, and technical services",No,Somewhat disagree,Somewhat agree,Somewhat disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Somewhat disagree
R_1rBWHZH2q4Rx1Qp,World peace,,,,,,,,,,,,,,,,,1,45,2,-3105,11,1,4,5,3,23462,Retail Trade,No,Somewhat disagree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat agree
R_2YybcggErtS50fR,How serious the threat of common  enemies are. ,,,,,,,,,1,,,,,,,,,28,2,9,1,1,2,2,3,35810,Retail Trade,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Strongly disagree
R_2SIvchJs3BsuqRh,I don’t believe other countries respect the US since Trump was president. He made us a laughing stock.,,,1,,,,,,,,,,,,,,,70,2,1,1,1,4,1,1,12401,"Manufacturing - food, textile, apparel",No,Neither agree nor disagree,Strongly agree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Strongly agree
R_3el9wr7LuPvrTU2,Bipartisan Agreement,,,,1,,,,,,,,,,,,,,41,2,24,1,1,7,5,3,29841,Health care and social assistance,No,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Neither agree nor disagree
R_3kN63uimoGqvHyN,Democratic government ,,,,,,,1,,,,,,,,,,,24,2,9,1,1,6,2,3,30032,"Arts, entertainment & recreation",,Strongly disagree,Somewhat agree,Strongly disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Somewhat disagree
R_2q1mjMIkQD9ZtEy,Being United ,,,1,,,,,,,,,,,,,,,31,2,2,1,1,4,1,3,25526,Educational Services,No,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Some.,Strongly agree
R_5gob0VdtXUa6FcR,Idk,,,,,,,,,,,,,,,,,1,28,2,1,10,1,1,7,4,93702,Utilities,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_3jZrTQpGetaxgW8,The annual cost ,,,,,,,,,,1,,,,,,,,29,2,4,1,12,4,7,4,87144,Health care and social assistance,No,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Somewhat agree
R_33wla7MwVCbacRn,Opinions of senators ,,,1,,,,,,,,,,,,,,,54,2,6,1,1,7,10,3,76063,,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Strongly disagree
R_1ers8qfl9pEfObK,U.S is a powerful country in itself ,,,,,,,,,,,,,,,,,1,39,1,20,1,1,7,10,1,19027,Information and Telecommunications,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,A few.,Strongly disagree
R_2dhIl2ywZTG6Et3,Democracy and cost to the US ,,,,,,,1,,,1,,,,,,,,30,2,20,1,1,6,2,4,98144,Accommodation and food services,No,Strongly disagree,Somewhat agree,Somewhat disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Not at all superior.,Very many.,Strongly agree
R_XS9hXCaPJS9jaSZ,Did need/benefits outweigh costs of life and money,,,,,,,,,1,1,,,,,,,,32,2,3,1,1,4,2,4,95476,Agriculture,No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Not at all superior.,A few.,Somewhat disagree
R_AHfurvzugYhsfTP,Just kind of unsure about it all,,,,,,,,,,,,,,,,,1,31,2,1,15,1,2,4,2,43506,"Manufacturing - machinery, electronics etc.",No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Somewhat disagree
R_2t5VAzrGiMAUJ4n,Who supports the alliances and whether the countries are democracies.,,,1,,,,1,,,,,,,,,,,28,2,7,1,1,6,1,3,78741,"Professional, scientific, and technical services",No,Somewhat disagree,Somewhat agree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Strongly disagree
R_3HTccFCKu56rv6F,Interests,,,,,,,,,1,,,,,,,,,33,2,-3105,1,1,6,10,3,76259,Real Estate,No,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Neither agree nor disagree
R_pLXLPGJWXYEmKM9,Strength,,,,,,,,,,,,,,,1,,,31,2,9,1,1,5,10,1,15642,"Administration, support, and waste management",Yes,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Some.,Strongly agree
R_1f8Gl9xOVp1liib,Democrats support ,,1,,,,,,,,,,,,,,,,50,2,5,1,1,4,2,2,46710,,No,Somewhat agree,Somewhat disagree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Not at all superior.,A few.,Somewhat disagree
R_AsKRmy087Q8hQqt,Unsure ,,,,,,,,,,,,,,,,,1,29,2,5,1,1,6,2,3,28704,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Neither agree nor disagree
R_3GD1U1qZ93QISu4,Protection,,,,,,,,,,,,,,,,,1,37,2,6,1,2,4,6,3,79605,"Arts, entertainment & recreation",No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat disagree
R_9nSPZWE9NqORvJn,Money and resources ,,,,,,,,,,1,,,,,1,,,25,2,1,1,1,2,4,3,78064,Other Mining,No,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,A few.,Strongly agree
R_3oBgdK2eHyeNMoh,,,,,,,,,,,,,,,,,,1,23,1,24,1,1,6,5,2,55044,Utilities,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_1dbNWv1MvBkvMEt,Alliance ,,,,,,,,,,,,,,,,,1,54,2,24,1,1,7,1,3,35242,Accommodation and food services,No,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,Very many.,Somewhat agree
R_3vG6vXHqnijfynv,They matter ,,,,,,,,,,,,,,,,,1,19,2,6,15,2,1,1,4,93111,Utilities,No,Strongly agree,Somewhat agree,Somewhat agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Strongly agree
R_1k1vOlQker71kZt,The support of Republican senators,1,,,,,,,,,,,,,,,,,27,2,8,1,1,2,10,3,76065,Construction,No,Somewhat agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,None.,Strongly disagree
R_2R3rtLbWOlLd36d,Peace ,,,,,,,,,,,,,,,,,1,36,2,12,4,1,7,10,2,44094,Information and Telecommunications,No,Strongly agree,Somewhat disagree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,None.,Somewhat disagree
R_2zVkplIqJRlEapM,Location ,,,,,,,,,,,,,,1,,,,28,2,9,1,1,2,2,2,45255,Retail Trade,No,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,Some.,Somewhat agree
R_cOSyqdjv7xsOKTn,That is so strong alliances as well as more well thougth among world.,,,,,,,,,,,,,,1,1,,,74,1,18,1,1,7,1,3,32579,Health care and social assistance,No,Strongly agree,Somewhat agree,,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Strongly agree
R_2Esj2SDVTWLdJpv,"Common threats, also cooperation ",,,,,,,,,1,,,,1,,,,,29,2,1,1,1,2,4,4,84105,,No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,A few.,Strongly disagree
R_OlNJOzm79yfyrf3,None ,,,,,,,,,,,,,,,,,1,33,2,1,2,1,2,1,3,31794,Oil and Gas,No,Somewhat agree,Somewhat agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Somewhat agree
R_38fTNpQ1IyhGZep,The cost,,,,,,,,,,1,,,,,,,,35,2,12,1,1,4,9,3,34120,Retail Trade,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,A few.,Somewhat agree
R_UN391kPg87Wx1zX,Middle ready,,,,,,,,,,,,,,,,,1,32,2,1,15,1,2,1,2,44505,Accommodation and food services,No,Somewhat agree,Strongly disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,A few.,Neither agree nor disagree
R_26lkk2e7r8S51uc,Dk,,,,,,,,,,,,,,,,,1,24,2,3,2,1,2,8,3,29625,"Manufacturing - food, textile, apparel",,Strongly disagree,Strongly disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,A few.,Neither agree nor disagree
R_29cx1XeI4Chv384,jeneoeujnfeuj,,,,,,,,,,,,,,,,,1,19,2,14,2,1,1,2,1,11560,Accommodation and food services,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,Very many.,Strongly agree
R_3HoSSS4Ybpt2tVW,h,,,,,,,,,,,,,,,,,1,24,1,10,1,1,6,1,1,11753,Educational Services,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Not at all superior.,None.,Strongly disagree
R_2w0K7gYzi048Q9V,All,,,,,,,,,,,,,,,,,1,30,2,8,1,1,4,2,1,11763,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,A few.,Somewhat agree
R_1kOyH4vhyarqiuI,Na,,,,,,,,,,,,,,,,,1,21,2,4,1,1,2,4,2,48458,Retail Trade,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Neither agree nor disagree
R_1A3lxHbdaQcDrB7,We need to support them so we can depend on their support,,,,,,,,,,,,,,,,,1,71,2,17,1,1,7,2,3,30725,Health care and social assistance,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat disagree
R_2q2VeQ2JahAJI3K,Do not go to middle east,,,,,,,,,,,,,,1,,,,26,2,14,1,1,4,10,3,72560,Health care and social assistance,No,Somewhat agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat disagree
R_1TgJygY9UA2sGY1,Don't know ,,,,,,,,,,,,,,,,,1,45,2,1,1,1,6,1,4,98370,Utilities,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Not at all superior.,Some.,Neither agree nor disagree
R_WimOFn6grZwQzyF,It is okey to be alliance,,,,,,,,,,,,,,,,,1,30,2,5,4,1,2,10,4,97856,Real Estate,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Somewhat agree
R_1lcmEX1hHceRpSG,Whether to support these countries ,,,,,,,,,,,1,,,,,,,57,2,7,1,1,6,2,3,20910,"Manufacturing - machinery, electronics etc.",No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Strongly agree
R_2CNiaPQDg1TFCxp,2,,,,,,,,,,,,,,,,,1,21,2,1,1,1,4,6,1,16421,Agriculture,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,A few.,Neither agree nor disagree
R_3JmdXn3eyZz68P6,The safety of the soldiers,,,,,,,,,,,,,,,,,1,24,2,5,1,1,4,10,3,22205,Retail Trade,No,Somewhat agree,Neither agree nor disagree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,A few.,Strongly disagree
R_9zV7pwqLhcLUdfH,location,,,,,,,,,,,,,,1,,,,20,2,21,1,5,4,1,1,8691,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat disagree
R_TjulBzTVXXxyLjX,Funding,,,,,,,,,,1,,,,,,,,49,2,1,6,1,4,10,4,91950,,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,A few.,Somewhat disagree
R_1hMeFDPQXym04yQ,Having an alliance ,,,,,,,,,,,,,,,,,1,43,2,3,1,1,2,10,3,29485,,No,Somewhat agree,Somewhat disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat agree
R_XzhVhOvNKjebSCZ,Support ,,,,,,,,,,,,,1,,,,,55,2,10,1,1,2,9,2,60540,"Arts, entertainment & recreation",No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,Some.,Somewhat agree
R_3LY1giNFAD8FMtt,The facfs behind the reason. As opposed to all the Republicans opinion.,1,,,,,,,,,,,,,,,,,28,2,5,3,1,4,1,2,57028,Accommodation and food services,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Strongly agree
R_1n9J2RScOlxuJ3j,maybe some,,,,,,,,,,,,,,,,,1,23,2,3,16,1,4,7,1,501,,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Neither agree nor disagree
R_1dgWYoZCM8p95Iq,Peace,,,,,,,,,,,,,,,,,1,60,2,1,15,2,6,4,3,34119,Health care and social assistance,No,Somewhat disagree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat disagree
R_1F3WMsppBvvpebQ,The cost,,,,,,,,,,1,,,,,,,,36,2,10,1,1,6,2,2,55103,Accommodation and food services,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Somewhat disagree
R_DGWFQpEm6Bbw7jH,,,,,,,,,,,,,,,,,,,45,2,-3105,2,1,4,2,3,77422,Utilities,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Neither agree nor disagree
R_3pfN41xclsOgpQl,My feelings about peace and violent ,,,,,,,,,,,,,,,,,1,68,2,13,1,1,5,5,1,3740,Health care and social assistance,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Somewhat disagree
R_2E0jlIIGasDMsIL,For the rewards program and the,,,,,,,,,,,,,,,,,1,31,2,5,1,1,2,10,2,43964,Information and Telecommunications,Yes,Somewhat agree,Somewhat disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat agree
R_3G0R0XbaQY6eBBb,the country that was talked about knowing a bit of history,,,,,,,,,,,,,,,,,1,33,2,4,1,1,4,5,3,33714,Retail Trade,No,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Neither agree nor disagree
R_41IdxHG8BBEDuNP,Isolation,,,,,,,,,,,,,,,,,1,73,1,9,1,1,5,10,4,86442,Utilities,Yes,Strongly agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Strongly agree
R_3hxYRIEoPK7PFLn,democratic vs nondemocratic and how much the country was doing for themselves,,,,,,,1,,,,,,,,,,,67,1,14,1,1,8,9,1,17701,Health care and social assistance,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Strongly disagree
R_3P4BKdyK2uh5tGV,What they support ,,,,,,,,,,,,,1,,,,,28,2,2,15,1,6,10,1,16345,Transportation & Warehousing,No,Neither agree nor disagree,Somewhat agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Very many.,Neither agree nor disagree
R_2vkXhZFQ4N5N9xz,The cost of military use,,,,,,,,,,1,,,,,,,,51,2,7,1,2,6,3,4,98444,Transportation & Warehousing,No,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Not at all superior.,A few.,Strongly agree
R_1IXzxlPzOBRshA8,United States of America ,,,,,,,,,,,,,,,,,1,68,1,3,15,1,2,9,4,94501,Retail Trade,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,None.,Strongly disagree
R_bse5j7N7ULPQtAl,Dangerous Dyads,,,,,,,,,,,,,,,,,1,40,1,20,1,1,5,5,3,21090,"Administration, support, and waste management",Yes,Strongly agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Strongly agree
R_10G9DSmU3QjuCMk,The conflict ,,,,,,,,,,,,,,,,,1,35,2,1,1,1,2,9,3,29627,Retail Trade,No,Somewhat agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_1libMe5ZuSQ2ANM,Looking who has been reliable ,,,,,,,,,,,,,1,,,,,22,2,1,1,1,6,4,3,40475,Retail Trade,No,Somewhat disagree,Strongly agree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,Very many.,Somewhat agree
R_2TWWMXdAoAGEwko,Unsure,,,,,,,,,,,,,,,,,1,31,2,1,1,1,2,7,3,30528,Construction,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Neither agree nor disagree
R_2rO3LKpVCmqU7cY,I have trou le between peace and violence,,,,,,,,,,,,,,,,,1,68,2,13,1,1,5,5,1,3740,Health care and social assistance,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Somewhat disagree
R_1LXoIBy3c6Ua3TY,Because I don't really like the fact of military,,,,,,,,,,,,,,,,,1,35,2,4,1,1,4,7,3,77094,,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Somewhat agree
R_3QMj8tj4XAGqZnB,Alliance ,,,,,,,,,,,,,,,,,1,25,2,5,1,2,4,2,4,91733,Transportation & Warehousing,No,Strongly agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Somewhat agree
R_2QDs1Bq9rTxvRQh,Quality ,,,,,,,,,,,,,,,,,1,29,2,9,4,1,6,1,3,77656,Transportation & Warehousing,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat agree
R_3KI2oWAzVjqlEND,Democracy ,,,,,,,1,,,,,,,,,,,58,2,15,1,1,6,10,1,8260,Accommodation and food services,No,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Somewhat disagree
R_1F8IFnf7WBuZZuz,None ,,,,,,,,,,,,,,,,,1,41,2,1,1,3,1,7,2,33138,,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,None.,Neither agree nor disagree
R_1BOUwnk4P7Be574,Made me think and now i want to know what countries they are exactly,,,,,,,,,,,,,,,,,1,38,2,1,1,1,2,10,3,76082,,No,Somewhat disagree,Somewhat agree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Neither agree nor disagree
R_3O7m1adCAxFmj22,I go with whatever republicans vote for ,1,,,,,,,,,,,,,,,,,39,2,5,1,1,2,9,2,45504,Health care and social assistance,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,A few.,Strongly agree
R_2XiXdTCJ7xSqLOa,Getting along,,,,,,,,,,,,,,,,,1,37,2,1,1,1,2,3,4,97759,Health care and social assistance,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Very many.,Somewhat disagree
